Drive_ID,Vendor,Model,Firmware_Version,Power_On_Hours,Total_TBW_TB,Total_TBR_TB,Temperature_C,Percent_Life_Used,Media_Errors,Unsafe_Shutdowns,CRC_Errors,Read_Error_Rate,Write_Error_Rate,SMART_Warning_Flag,Failure_Mode,Failure_Flag
NVME-00001,VendorB,Model-ULTRA,FW2.0,24744,228.6,221.5,45.5,47.5,0,1,0,5.27,2.21,0,0,0
NVME-00002,VendorD,Model-X2,FW1.0,5739,50.9,47.9,46.1,16.6,0,5,1,3.95,6.5,0,0,0
NVME-00003,VendorC,Model-LITE,FW2.0,30430,13.8,7.3,45.5,0.0,2,1,0,3.28,3.51,0,0,0
NVME-00004,VendorB,Model-PRO,FW2.0,11716,141.0,179.6,33.7,28.7,0,3,1,4.58,6.09,0,0,0
NVME-00005,VendorA,Model-PRO,FW1.2,20680,22.0,29.6,43.6,0.0,1,1,0,8.39,10.95,0,0,0
NVME-00006,VendorA,Model-PRO,FW1.2,32868,95.7,98.7,34.0,24.6,0,4,1,3.9,2.99,0,0,0
NVME-00007,VendorA,Model-X1,FW1.0,27074,87.5,58.9,44.2,26.7,0,3,0,10.02,14.02,0,0,0
NVME-00008,VendorD,Model-X1,FW2.0,59498,55.9,41.8,47.5,8.1,2,9,0,1.71,4.29,0,0,0
NVME-00009,VendorC,Model-PRO,FW1.2,45473,3.9,2.4,43.0,0.0,2,1,0,5.83,0.81,0,0,0
NVME-00010,VendorC,Model-ULTRA,FW2.1,47826,131.1,87.8,46.0,34.3,2,3,0,6.69,2.93,0,0,0
NVME-00011,VendorA,Model-ULTRA,FW2.1,30650,127.4,175.4,41.8,28.1,2,4,0,2.51,9.87,0,0,0
NVME-00012,VendorD,Model-X1,FW2.1,47712,28.2,27.6,54.8,7.4,1,2,0,18.19,8.39,0,0,0
NVME-00013,VendorD,Model-PRO,FW2.1,24861,231.7,141.6,43.3,54.3,1,0,1,6.28,6.84,0,0,0
NVME-00014,VendorA,Model-ULTRA,FW2.0,10801,77.0,58.1,32.7,16.0,0,1,1,12.98,9.32,0,0,0
NVME-00015,VendorA,Model-X1,FW2.1,20922,70.0,101.5,36.1,13.8,1,1,0,1.99,10.44,0,0,0
NVME-00016,VendorA,Model-PRO,FW2.0,15070,57.1,57.6,43.5,8.2,1,3,1,1.25,1.72,0,0,0
NVME-00017,VendorB,Model-X2,FW1.0,21292,48.6,49.4,50.5,5.8,2,2,0,1.65,1.35,0,0,0
NVME-00018,VendorB,Model-PRO,FW1.0,35947,145.1,148.8,43.2,22.9,0,2,0,11.48,10.53,0,0,0
NVME-00019,VendorB,Model-PRO,FW2.1,23203,57.9,35.4,41.8,13.7,1,5,0,0.23,2.44,0,0,0
NVME-00020,VendorA,Model-LITE,FW2.1,57579,128.1,188.3,31.1,29.3,2,4,0,12.68,11.87,0,0,0
NVME-00021,VendorC,Model-LITE,FW2.1,55270,78.4,45.8,55.2,19.8,1,3,1,1.33,5.54,0,0,0
NVME-00022,VendorA,Model-X2,FW1.0,49634,130.6,156.7,29.4,33.5,3,5,1,18.51,11.83,1,4,1
NVME-00023,VendorA,Model-X2,FW1.2,28957,151.7,84.6,27.6,34.9,0,1,0,12.83,3.76,0,0,0
NVME-00024,VendorB,Model-PRO,FW1.0,43746,84.8,80.0,36.2,11.9,2,3,1,13.21,1.27,0,0,0
NVME-00025,VendorB,Model-ULTRA,FW2.1,17411,75.5,105.7,44.7,13.4,1,3,1,0.44,0.01,0,0,0
NVME-00026,VendorC,Model-X2,FW1.2,21543,92.2,117.0,36.8,15.6,0,3,0,11.24,5.56,0,0,0
NVME-00027,VendorA,Model-PRO,FW1.2,17044,90.0,75.1,35.1,15.2,1,2,0,2.71,2.62,0,0,0
NVME-00028,VendorB,Model-X1,FW1.1,34057,107.0,112.5,33.4,26.6,1,2,0,6.82,0.34,0,0,0
NVME-00029,VendorB,Model-LITE,FW2.0,50149,18.0,12.0,54.1,4.3,0,4,0,7.96,0.77,0,0,0
NVME-00030,VendorA,Model-ULTRA,FW2.1,15074,66.6,97.0,42.7,10.4,0,4,2,3.34,0.61,0,0,0
NVME-00031,VendorC,Model-PRO,FW2.0,47084,50.4,60.9,47.2,14.9,2,3,1,9.54,13.16,0,0,0
NVME-00032,VendorA,Model-X1,FW1.1,46993,70.0,61.2,56.5,14.5,0,6,1,2.93,9.75,0,0,0
NVME-00033,VendorA,Model-LITE,FW2.0,35236,141.1,115.4,56.2,27.7,1,2,1,12.02,10.81,0,0,0
NVME-00034,VendorD,Model-X1,FW2.1,26414,222.8,164.6,32.8,51.6,2,3,1,7.96,13.48,0,0,0
NVME-00035,VendorD,Model-PRO,FW1.1,29952,29.8,38.3,42.0,13.5,0,4,0,1.06,3.16,0,0,0
NVME-00036,VendorD,Model-X2,FW2.0,5053,19.8,18.5,46.3,1.2,1,6,0,4.48,5.64,0,0,0
NVME-00037,VendorB,Model-LITE,FW1.0,24382,64.0,53.1,40.9,9.5,2,3,1,1.0,6.64,0,0,0
NVME-00038,VendorA,Model-X1,FW1.2,11337,69.4,97.5,34.6,17.7,1,1,1,2.36,22.57,0,0,0
NVME-00039,VendorC,Model-X2,FW1.1,37248,21.1,13.7,20.0,5.6,1,3,0,3.55,7.09,0,0,0
NVME-00040,VendorB,Model-ULTRA,FW1.0,28548,84.8,64.8,50.8,16.7,1,3,1,1.43,1.45,0,0,0
NVME-00041,VendorA,Model-PRO,FW2.1,31871,99.4,84.0,54.8,19.1,0,6,0,8.84,6.47,0,0,0
NVME-00042,VendorB,Model-PRO,FW1.2,51650,31.0,23.6,45.9,7.6,1,1,0,4.43,16.15,0,0,0
NVME-00043,VendorA,Model-LITE,FW1.1,55478,59.5,64.6,39.8,7.4,0,3,0,7.4,0.29,0,0,0
NVME-00044,VendorD,Model-X1,FW1.2,54995,114.7,126.3,35.6,23.5,1,5,0,18.93,9.21,0,0,0
NVME-00045,VendorA,Model-ULTRA,FW1.1,45821,43.4,24.1,41.0,6.2,1,0,0,19.56,7.82,0,0,0
NVME-00046,VendorC,Model-LITE,FW1.1,58837,29.4,18.9,50.7,2.0,0,4,0,10.09,1.57,0,0,0
NVME-00047,VendorB,Model-LITE,FW2.0,2688,27.3,19.1,44.4,7.3,0,3,1,8.66,9.19,0,0,0
NVME-00048,VendorB,Model-X1,FW1.2,59468,63.5,36.2,22.6,23.4,1,3,1,18.91,5.31,0,0,0
NVME-00049,VendorB,Model-ULTRA,FW1.2,14915,24.1,15.1,52.8,0.0,2,2,0,9.82,1.93,0,0,0
NVME-00050,VendorA,Model-X1,FW1.0,6456,144.8,107.1,45.4,36.5,0,0,0,10.45,3.77,0,0,0
NVME-00051,VendorD,Model-PRO,FW2.1,20169,108.0,91.3,31.4,24.5,0,5,1,3.03,9.13,0,0,0
